City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Vaini,-21.2,-175.2,75.36,88,90,8.05,TO,1633288925
New Norfolk,-42.7826,147.0587,53.74,82,49,1.28,AU,1633288925
Kapaa,22.0752,-159.319,80.58,83,90,3.0,US,1633288926
Busselton,-33.65,115.3333,41.09,67,87,3.58,AU,1633288927
Touros,-5.1989,-35.4608,85.1,65,15,17.25,BR,1633288927
Tazovsky,67.4667,78.7,33.4,84,100,8.59,RU,1633288927
Bredasdorp,-34.5322,20.0403,50.29,87,13,3.44,ZA,1633288928
General Roca,-39.0333,-67.5833,64.8,17,0,16.11,AR,1633288928
Kapuskasing,49.4169,-82.4331,62.6,59,40,5.75,CA,1633288669
Atuona,-9.8,-139.0333,77.56,74,15,17.78,PF,1633288929
Asău,46.4333,26.4,50.76,87,0,2.06,RO,1633288929
Kendari,-3.945,122.4989,73.6,95,100,3.4,ID,1633288930
Quang Ngai,15.1167,108.8,75.51,90,100,4.9,VN,1633288930
Ushuaia,-54.8,-68.3,46.06,76,75,27.63,AR,1633288931
Mataura,-46.1927,168.8643,44.47,90,100,7.27,NZ,1633288632
Rio Grande,-32.035,-52.0986,66.31,77,100,18.19,BR,1633288931
Ribeira Grande,38.5167,-28.7,73.8,83,40,11.5,PT,1633288932
Tiznit Province,29.5833,-9.5,63.77,72,100,4.72,MA,1633288932
Mogadishu,2.0371,45.3438,78.46,86,6,16.78,SO,1633288932
Ust'-Kut,56.7938,105.7672,34.68,88,100,1.7,RU,1633288740
Gairatganj,23.4202,78.2385,76.32,85,37,3.8,IN,1633288933
Dryden,49.7833,-92.7503,59.29,72,40,0.0,CA,1633288934
Batticaloa,7.7102,81.6924,80.04,82,100,4.27,LK,1633288934
Rørvik,64.8621,11.2373,59.11,72,75,18.41,NO,1633288934
Jamestown,42.097,-79.2353,68.02,71,90,7.0,US,1633288856
Washington,47.5001,-120.5015,70.29,40,0,4.03,US,1633288811
Qaanaaq,77.484,-69.3632,31.69,98,100,7.43,GL,1633288935
Punta Arenas,-53.15,-70.9167,44.71,70,75,32.21,CL,1633288936
Broken Hill,-31.95,141.4333,50.22,61,0,10.67,AU,1633288756
Saint-Pierre,-21.3393,55.4781,73.08,68,90,2.3,RE,1633288936
Sīrjān,29.452,55.6814,70.5,22,50,7.7,IR,1633288937
Bambous Virieux,-20.3428,57.7575,73.22,88,75,11.5,MU,1633288937
Santa Rosa,14.3122,121.1114,79.92,86,100,4.9,PH,1633288938
Dikson,73.5069,80.5464,34.79,98,100,23.38,RU,1633288938
